"Time [s]","$supplied_voltage []"
0.761399999999996,9.37435679999995
0.762749999999995,9.39097799999994
0.764099999999995,9.40759919999994
0.765449999999995,9.42422039999994
0.766799999999995,9.44084159999994
0.768149999999995,9.45746279999994
0.769499999999995,9.47408399999994
0.770849999999995,9.49070519999994
0.772199999999995,9.50732639999994
0.773549999999995,9.52394759999994
0.774899999999995,9.54056879999994
0.776249999999995,9.55718999999994
0.777599999999995,9.57381119999994
0.778949999999995,9.59043239999994
0.780299999999995,9.60705359999994
0.781649999999995,9.62367479999994
0.782999999999995,9.64029599999994
0.784349999999995,9.65691719999994
0.785699999999995,9.67353839999994
0.787049999999995,9.69015959999994
0.788399999999995,9.70678079999994
0.789749999999995,9.72340199999994
0.791099999999995,9.74002319999994
0.792449999999995,9.75664439999994
0.793799999999995,9.77326559999994
0.795149999999995,9.78988679999994
0.796499999999995,9.80650799999994
0.797849999999995,9.82312919999994
0.799199999999994,9.83975039999993
0.800549999999994,9.85637159999992
0.801899999999994,9.87299279999993
0.803249999999994,9.88961399999993
0.804599999999994,9.90623519999992
0.805949999999994,9.92285639999992
0.807299999999994,9.93947759999993
0.808649999999994,9.95609879999992
0.809999999999994,9.97271999999992
0.811349999999994,9.98934119999993
0.812699999999994,10.0059623999999
0.814049999999994,10.0225835999999
0.815399999999994,10.0392047999999
0.816749999999994,10.0558259999999
0.818099999999994,10.0724471999999
0.819449999999994,10.0890683999999
0.820799999999994,10.1056895999999
0.822149999999994,10.1223107999999
0.823499999999994,10.1389319999999
0.824849999999994,10.1555531999999
0.826199999999994,10.1721743999999
0.827549999999994,10.1887955999999
0.828899999999994,10.2054167999999
0.830249999999994,10.2220379999999
0.831599999999994,10.2386591999999
0.832949999999994,10.2552803999999
0.834299999999993,10.2719015999999
0.835649999999993,10.2885227999999
0.836999999999993,10.3051439999999
0.838349999999993,10.3217651999999
0.839699999999993,10.3383863999999
0.841049999999993,10.3550075999999
0.842399999999993,10.3716287999999
0.843749999999993,10.3882499999999
0.845099999999993,10.4048711999999
0.846449999999993,10.4214923999999
0.847799999999993,10.4381135999999
0.849149999999993,10.4547347999999
0.850499999999993,10.4713559999999
0.851849999999993,10.4879771999999
0.853199999999993,10.5045983999999
0.854549999999993,10.5212195999999
0.855899999999993,10.5378407999999
0.857249999999993,10.5544619999999
0.858599999999993,10.5710831999999
0.859949999999993,10.5877043999999
0.861299999999993,10.6043255999999
0.862649999999993,10.6209467999999
0.863999999999993,10.6375679999999
0.865349999999993,10.6541891999999
0.866699999999993,10.6708103999999
0.868049999999993,10.6874315999999
0.869399999999993,10.7040527999999
0.870749999999992,10.7206739999999
0.872099999999992,10.7372951999999
0.873449999999992,10.7539163999999
0.874799999999992,10.7705375999999
0.876149999999992,10.7871587999999
0.877499999999992,10.8037799999999
0.878849999999992,10.8204011999999
0.880199999999992,10.8370223999999
0.881549999999992,10.8536435999999
0.882899999999992,10.8702647999999
0.884249999999992,10.8868859999999
0.885599999999992,10.9035071999999
0.886949999999992,10.9201283999999
0.888299999999992,10.9367495999999
0.889649999999992,10.9533707999999
0.890999999999992,10.9699919999999
0.892349999999992,10.9866131999999
0.893699999999992,11.0032343999999
0.895049999999992,11.0198555999999
0.896399999999992,11.0364767999999
0.897749999999992,11.0530979999999
0.899099999999992,11.0697191999999
0.900449999999992,11.0863403999999
0.901799999999992,11.1029615999999
0.903149999999992,11.1195827999999
0.904499999999992,11.1362039999999
0.905849999999991,11.1528251999999
0.907199999999991,11.1694463999999
0.908549999999991,11.1860675999999
0.909899999999991,11.2026887999999
0.911249999999991,11.2193099999999
0.912599999999991,11.2359311999999
0.913949999999991,11.2525523999999
0.915299999999991,11.2691735999999
0.916649999999991,11.2857947999999
0.917999999999991,11.3024159999999
0.919349999999991,11.3190371999999
0.920699999999991,11.3356583999999
0.922049999999991,11.3522795999999
0.923399999999991,11.3689007999999
0.924749999999991,11.3855219999999
0.926099999999991,11.4021431999999
0.927449999999991,11.4187643999999
0.928799999999991,11.4353855999999
0.930149999999991,11.4520067999999
